Filename,Number,Output,Formula,# variables,net_type,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high
PG.A.01,1,V_out,I*R,2,scalar,I,1,5,R,1,5,,,,,,,,,,,,
PG.A.02,2,P_s,V*I,2,scalar,V,1,5,I,1,5,,,,,,,,,,,,
PG.A.03,3,P_s,I**2*R,2,scalar,I,1,5,R,1,5,,,,,,,,,,,,
PG.A.04,4,E_s,0.5*C*V**2,2,scalar,C,1,5,V,1,5,,,,,,,,,,,,
PG.A.05,5,E_s,0.5*L*I**2,2,scalar,L,1,5,I,1,5,,,,,,,,,,,,
PG.A.06,6,tau_s,R*C,2,scalar,R,1,5,C,1,5,,,,,,,,,,,,
PG.A.07,7,E_s,I**2*R*t,3,scalar,I,1,5,R,1,5,t,1,5,,,,,,,,,
PG.A.08,8,q_s,C*V,2,scalar,C,1,5,V,1,5,,,,,,,,,,,,
PG.A.09,9,V_out,Vin*R2/(R1+R2),3,scalar,Vin,1,5,R1,1,5,R2,1,5,,,,,,,,,
PG.A.10,10,P_s,V*I*cos(phi),3,scalar,V,1,5,I,1,5,phi,0.1,3,,,,,,,,,
PG.A.11,11,Z_s,sqrt(R**2+XL**2),2,scalar,R,1,5,XL,1,5,,,,,,,,,,,,
PG.A.12,12,I_s,omega*C*V,3,scalar,omega,1,5,C,1,5,V,1,5,,,,,,,,,
PG.B.01,13,Y_n,aggr(Gv),1,network,Gv,1,5,,,,,,,,,,,,,,,
PG.B.02,14,dV_e,sour(Vm)-targ(Vm),1,network,Vm,0.9,1.1,,,,,,,,,,,,,,,
PG.B.03,15,I_e,Gv*(sour(Vm)-targ(Vm)),2,network,Gv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.B.04,16,I_n,aggr(Gv*(sour(Vm)-targ(Vm))),2,network,Gv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.B.05,17,P_e,Gv*(sour(Vm)-targ(Vm))**2,2,network,Gv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.B.06,18,P_n,Vm*aggr(Gv*(sour(Vm)-targ(Vm))),2,network,Vm,0.9,1.1,Gv,1,5,,,,,,,,,,,,
